Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191     0   4208831.691   2334852.420   4171269.742     10.146   2.282  -0.005   2.277  14.060
2017 191    30   4208832.000   2334852.514   4171269.232      9.622   2.282  -0.009   2.274  14.088
2017 191    60   4208832.301   2334852.557   4171268.791      9.513   2.282  -0.009   2.273  14.093
2017 191    90   4208832.785   2334852.757   4171268.873      9.497   2.282  -0.002   2.280  14.156
2017 191   120   4208829.668   2334847.311   4171270.490      7.930   2.282  -0.383   1.900  13.785
2017 191   150   4208830.476   2334847.973   4171270.667      8.949   2.282  -0.420   1.862  13.760
2017 191   180   4208830.911   2334848.428   4171270.779      9.225   2.282  -0.447   1.836  13.722
2017 191   210   4208830.758   2334848.278   4171270.268      8.543   2.282  -0.317   1.965  13.650
2017 191   240   4208830.857   2334848.142   4171269.435      7.883   2.282  -0.091   2.191  13.606
2017 191   270   4208834.547   2334851.930   4171270.048     11.277   2.282  -0.310   1.972  14.035
2017 191   300   4208834.399   2334852.028   4171270.037     11.204   2.282  -0.310   1.972  14.005
2017 191   330   4208834.361   2334852.045   4171270.000     11.434   2.282  -0.295   1.987  13.989
2017 191   360   4208834.258   2334852.112   4171269.986     11.203   2.282  -0.292   1.991  13.985
2017 191   390   4208834.173   2334852.165   4171269.974     11.152   2.282  -0.289   1.994  13.993
2017 191   420   4208832.037   2334853.360   4171269.457     10.019   2.282  -0.190   2.092  10.672
2017 191   450   4208832.035   2334853.353   4171269.449      9.963   2.282  -0.190   2.093  10.875
2017 191   480   4208831.921   2334853.206   4171269.507      9.829   2.282  -0.192   2.091  11.021
2017 191   510   4208831.805   2334852.954   4171269.250      9.410   2.282  -0.173   2.109  11.116
2017 191   540   4208831.636   2334852.558   4171268.782      8.869   2.282  -0.143   2.139  11.169
2017 191   570   4208831.639   2334852.556   4171268.777      8.821   2.282  -0.143   2.139  11.289
2017 191   600   4208831.519   2334852.259   4171268.323      8.504   2.282  -0.117   2.165  11.366
2017 191   630   4208831.522   2334852.261   4171268.322      8.545   2.282  -0.118   2.165  11.504
2017 191   660   4208831.882   2334852.103   4171268.506      8.477   2.282  -0.059   2.224  11.671
2017 191   690   4208831.884   2334852.107   4171268.506      8.732   2.282  -0.059   2.223  11.793
2017 191   720   4208831.778   2334851.953   4171268.527      8.719   2.282  -0.057   2.226  11.885
2017 191   750   4208831.778   2334851.960   4171268.529      8.541   2.282  -0.057   2.226  11.980
2017 191   780   4208831.647   2334851.788   4171268.574      8.410   2.282  -0.055   2.227  12.034
2017 191   810   4208831.659   2334851.691   4171268.536      8.336   2.282  -0.053   2.230  12.082
2017 191   840   4208831.696   2334851.675   4171268.527      8.483   2.282  -0.043   2.239  12.130
2017 191   870   4208831.695   2334851.679   4171268.528      8.294   2.282  -0.044   2.239  12.177
2017 191   900   4208831.782   2334851.630   4171268.456      8.383   2.282  -0.042   2.241  12.225
2017 191   930   4208831.782   2334851.635   4171268.457      8.480   2.282  -0.042   2.241  12.275
2017 191   960   4208831.766   2334851.628   4171268.455      8.371   2.282  -0.041   2.241  12.312
2017 191   990   4208831.563   2334851.421   4171268.322      8.280   2.282  -0.026   2.257  12.303
2017 191  1020   4208831.555   2334851.421   4171268.321      8.474   2.282  -0.025   2.257  12.320
